model,average_accuracy,repeat_0,tag_2d_rotation_multi,tag_2d_rotation_single,tag_2d_translation_single,tag_2d_translation_multi,tag_2d_combined_transformations_multi,tag_3d_rotation_single,tag_3d_rotation_multi,tag_3d_translation_single,tag_3d_translation_multi,tag_3d_rotations_single_common_sense,tag_3d_combined_transformations_multi
gemma3:4b,0.3056,0.3056,0.2000,0.1000,0.6000,0.6000,0.5000,0.0000,0.1000,0.3000,0.4000,0.3750,0.2000
gemma4:26b,0.5370,0.5370,0.3000,0.9000,0.6000,0.7000,0.9000,0.4000,0.3000,0.3000,0.5000,0.6250,0.4000
gemma4:e2b,0.3519,0.3519,0.2000,0.4000,0.4000,0.6000,0.4000,0.3000,0.0000,0.4000,0.4000,0.3750,0.4000
gemma4:e4b,0.3796,0.3796,0.3000,0.6000,0.4000,0.5000,0.5000,0.4000,0.2000,0.3000,0.4000,0.3750,0.2000
mistral:7b,0.3148,0.3148,0.2000,0.2000,0.6000,0.5000,0.4000,0.1000,0.3000,0.3000,0.2000,0.6250,0.1000
qwen3.6:27b,0.4167,0.4167,0.0000,0.5000,0.5000,0.6000,0.5000,0.5000,0.2000,0.2000,0.5000,0.7500,0.4000
qwen3:8b,0.3981,0.3981,0.2000,0.2000,0.6000,0.4000,0.3000,0.6000,0.1000,0.4000,0.6000,0.7500,0.3000
