model,average_accuracy,repeat_0,tag_2d,tag_2d_combined_transformations_multi,tag_2d_rotation_multi,tag_2d_rotation_single,tag_2d_translation_multi,tag_2d_translation_single,tag_3d,tag_3d_combined_transformations_multi,tag_3d_rotation_multi,tag_3d_rotation_single,tag_3d_rotations_single_common_sense,tag_3d_translation_multi,tag_3d_translation_single,tag_combined_transformations,tag_common_sense,tag_multi_transformation,tag_rotation,tag_single_transformation,tag_translation
gemma3:4b,0.3056,0.3056,0.4000,0.5000,0.2000,0.1000,0.6000,0.6000,0.2241,0.2000,0.1000,0.0000,0.3750,0.4000,0.3000,0.3500,0.3750,0.3333,0.2059,0.2708,0.4333
gemma4:26b,0.5370,0.5370,0.6800,0.9000,0.3000,0.9000,0.7000,0.6000,0.4138,0.4000,0.3000,0.4000,0.6250,0.5000,0.3000,0.6500,0.6250,0.5167,0.5441,0.5625,0.5667
gemma4:e2b,0.3519,0.3519,0.4000,0.4000,0.2000,0.4000,0.6000,0.4000,0.3103,0.4000,0.0000,0.3000,0.3750,0.4000,0.4000,0.4000,0.3750,0.3333,0.2941,0.3750,0.4333
gemma4:e4b,0.3796,0.3796,0.4600,0.5000,0.3000,0.6000,0.5000,0.4000,0.3103,0.2000,0.2000,0.4000,0.3750,0.4000,0.3000,0.3500,0.3750,0.3500,0.3676,0.4167,0.3833
mistral:7b,0.3148,0.3148,0.3800,0.4000,0.2000,0.2000,0.5000,0.6000,0.2586,0.1000,0.3000,0.1000,0.6250,0.2000,0.3000,0.2500,0.6250,0.2833,0.2647,0.3542,0.3500
qwen3.6:27b,0.4167,0.4167,0.4200,0.5000,0.0000,0.5000,0.6000,0.5000,0.4138,0.4000,0.2000,0.5000,0.7500,0.5000,0.2000,0.4500,0.7500,0.3667,0.3971,0.4792,0.4500
qwen3:8b,0.3981,0.3981,0.3400,0.3000,0.2000,0.2000,0.4000,0.6000,0.4483,0.3000,0.1000,0.6000,0.7500,0.6000,0.4000,0.3000,0.7500,0.3167,0.3382,0.5000,0.4333
